"Product/Service Name","Variant Name","Quantity on hand","Item type","Single,parent or variant?","Category","SKU","Taxable","Option 1 name","Option 1 value","Option 2 name","Option 2 value","Option 3 name","Option 3 value","Option 4 name","Option 4 value","Option 5 name","Option 5 value","Price","Cost","Income Account","Expense Account","Inventory asset account","Sales Description","Purchase Description","Reorder Point"
"Multi-Step Lead Form - Credit","",0,"Service","Single","Professional Services:Website Services:Lead Capture Assets",,"No","","","","","","","","","","",,,"Services","","","Complimentary multi-step form included with hosting plan. Applied as a credit against development charges.",,0
"Multi-Step Lead Form Implementation","",0,"Service","Single","Professional Services:Website Services:Lead Capture Assets",,"No","","","","","","","","","","",,,"Services","","","Advanced multi-step lead capture forms designed for higher conversions.",,0
"p1 - Emergency Support","",0,"Service","Single","Professional Services:Website Services:Support Services",,"No","","","","","","","","","","",250,"0","Services","","","Critical-priority support, billed at a min. of 60-minute increments. Priority response for outages, downtime, or security incidents.",,0
"p1-p3 - Support Hours","",0,"Service","Single","Professional Services:Website Services:Support Services",,"No","","","","","","","","","","",150,"0","Services","","","Priority ticket support, billed at a min. of 15/30/60-minute increments depending on the level of urgency requested.",,0
"p2 - Urgent Support","",0,"Service","Single","Professional Services:Website Services:Support Services",,"No","","","","","","","","","","",175,"0","Services","","","Medium-priority support, billed at a min. of 30-minute increments. Expedited response for outages, downtime, or security incidents.",,0
"p3 - Standard Support","",0,"Service","Single","Professional Services:Website Services:Support Services",,"No","","","","","","","","","","",150,"0","Services","","","Normal-priority support, billed at a min. of 15-minute increments. Covers troubleshooting, updates, and general assistance.",,0
"PeakOne Website Hosting - Turbo (T2) - Per Site","",0,"Service","Single","Managed Services:Hosting Services",,"No","","","","","","","","","","",,,"Services","","","Hosting Infrastructure and Proactive Website Support",,0
"PeakOne Website Hosting - Turbo (T2) - Per Site - CREDIT","",0,"Service","Single","Professional Services:Hosting Services",,"No","","","","","","","","","","",-99,"0","Services","","","Credit / refund for hosting",,0
"PeakOne Website Hosting - Turbo (T2) - Per Site - Prorated End","",0,"Service","Single","Managed Services:Hosting Services",,"No","","","","","","","","","","",,,"Services","","","Hosting charges are prorated when service ends partway through a billing cycle. The cost is calculated based on the exact number of days the hosting service was active during that month.",,0
"PeakOne Website Hosting - Turbo (T2) - Per Site - Prorated Start","",0,"Service","Single","Managed Services:Hosting Services",,"No","","","","","","","","","","",,,"Services","","","Hosting charges are prorated when service begins partway through a billing cycle. The cost is calculated based on the exact number of days the hosting service is active during that month.",,0
"PeakOne Website Hosting - Turbo (T2) - Volume Discount","",0,"Service","Single","Managed Services:Hosting Services",,"No","","","","","","","","","","",,,"Services","","","1 complimentary site per 20 active sites. Applied as credit against monthly hosting charges",,0
"Post-Launch Hypercare","",0,"Service","Single","Professional Services",,"No","","","","","","","","","","",,,"Services","","",,,0
"Pre-Paid Consulting Hours","",0,"Service","Single","Professional Services",,"No","","","","","","","","","","",125,"0","Services","","",,,0
"Project Management - 10%","",0,"Service","Single","Managed Services",,"No","","","","","","","","","","",,,"Services","","",,,0
"Project Management - 15%","",0,"Service","Single","Managed Services",,"No","","","","","","","","","","",,,"Services","","",,,0
"QA & Testing","",0,"Service","Single","Professional Services",,"No","","","","","","","","","","",8000,"0","Services","","",,,0
"Returned Payment","",0,"Non-Inventory","Single","Fees",,"Yes","","","","","","","","","","","0","0","Sales","","","Returned payment fee",,0
"Search Engine Marketing (SEM)","",0,"Service","Single","Managed Services:Paid Search",,"No","","","","","","","","","","",,,"Services","","","Flat-rate search engine marketing services",,0
"Search Engine Optimization (SEO) and Marketing Tools","",0,"Service","Single","Professional Services:Digital Marketing Services",,"No","","","","","","","","","","",,,"Services","","",,,0
"Search Engine Optimization (SEO) Management","",0,"Service","Single","Managed Services:Digital Marketing Services",,"No","","","","","","","","","","",,,"Services","","",,,0
"Search Engine Optimization (SEO) - Redirect Mapping","",0,"Service","Single","Professional Services:Digital Marketing Services",,"No","","","","","","","","","","",,,"Services","","",,,0
"Search Engine Optimization (SEO) Services","",0,"Service","Single","Professional Services:Digital Marketing Services",,"No","","","","","","","","","","","0","0","Services","","","",,0
"Service Agreement - Deposit","",0,"Service","Single","Professional Services",,"No","","","","","","","","","","",,"0","Services","","","Deposit payment as per the service agreement","",0
"Service Agreement - Monthly Payment","",0,"Service","Single","Managed Services",,"No","","","","","","","","","","","0","0","Services","","","Monthly service payment as per the service agreement",,0
"Services","",0,"Service","Single",,,"No","","","","","","","","","","","0","0","Services","","",,,0
"Setup Fee","",0,"Service","Single","Fees",,"No","","","","","","","","","","",500,"0","Services","","","",,0
"Standard Support and Maintenance","",0,"Service","Single","Managed Services:Website Management Services",,"No","","","","","","","","","","",,,"Services","","",,,0
"Subscription Management System","",0,"Service","Single","Professional Services:Custom Development Services",,"No","","","","","","","","","","","0","0","Services","","",,,0
"Support Credits","",0,"Service","Single","Professional Services:Website Services:Support Services",,"No","","","","","","","","","","",-1500,"0","Services","","","Monthly credit for the first 10 support hours included in managed services.",,0
"User Experience Enhancements","",0,"Service","Single","Professional Services:Website Services",,"No","","","","","","","","","","","0","0","Services","","",,,0
"Website/Database Hosting & eCommerce Support","",0,"Service","Single","Managed Services:Hosting Services",,"No","","","","","","","","","","",,,"Services","","",,,0
"Website Development - Custom Quote","",0,"Service","Single","Professional Services:Website Services",,"No","","","","","","","","","","",1500,"0","Services","","","Full website builds, including responsive design, CMS integration, and best practices for SEO.",,0
"Website Development - Per Page","",0,"Service","Single","Professional Services:Website Services",,"No","","","","","","","","","","",500,"0","Services","","","Full website builds on per page basis, including responsive design, CMS integration, and best practices for SEO.",,0
"Website Infrastructure Upgrade","",0,"Service","Single","Professional Services:Website Services",,"No","","","","","","","","","","","0","0","Services","","",,,0
"Website Maintenance Services","",0,"Service","Single","Managed Services:Website Management Services",,"No","","","","","","","","","","",500,"0","Services","","",,,0
"Website Migration Services","",0,"Service","Single","Professional Services:Website Services",,"No","","","","","","","","","","",125,"0","Services","","","Seamless migration of client websites to a managed hosting environment, including setup, configuration, optimization, and testing to ensure minimal downtime and full functionality",,0
